AthleteID,EventID,MedalID
129038,132,1
129138,132,1
131639,132,1
1063,132,2
1076,132,2
1866,132,2
4074,132,2
5200,132,2
5562,132,2
37682,132,2
61523,132,2
62782,132,2
66424,132,2
102646,132,2
102886,132,2
103062,132,2
103415,132,2
103427,132,2
146376,132,2
896,881,0
30495,881,0
59877,881,0
59957,881,0
90931,881,0
94394,881,0
96193,881,0
115724,881,0
151917,881,0
53800,881,1
67942,881,1
76089,881,1
82730,881,1
85760,881,1
114757,881,1
117769,881,1
125228,881,1
148821,881,1
9762,881,2
9893,881,2
23673,881,2
32070,881,2
46164,881,2
51042,881,2
93170,881,2
114405,881,2
126370,881,2
913,900,0
14571,900,0
27531,900,0
31846,900,0
46677,900,1
48530,900,1
117733,900,1
150671,900,1
11932,900,2
12667,900,2
25545,900,2
113917,900,2
959,964,0
14037,964,1
17741,964,0
19402,964,0
38979,964,1
62357,964,0
64746,964,1
77953,964,1
104827,964,0
133155,964,0
14041,964,1
64130,964,1
19652,964,2
44543,964,2
104099,964,2
107221,964,2
116641,964,2
130493,964,2
978,984,0
39231,984,1
72827,984,1
116875,984,2
979,985,0
116876,985,1
144873,985,1
105324,985,2
987,945,0
142981,945,1
947,945,2
987,946,2
142981,946,0
947,946,1
998,1004,0
104966,1004,1
69507,1004,2
999,1005,0
49021,1005,1
72781,1005,2
1004,1007,0
64616,1007,0
75477,1007,0
91993,1007,0
97140,1007,0
116731,1007,0
124139,1007,0
125267,1007,0
152429,1007,0
37423,1007,1
42571,1007,1
57170,1007,1
77555,1007,1
83581,1007,1
107337,1007,1
115706,1007,1
124528,1007,1
126316,1007,1
12358,1007,2
18260,1007,2
20090,1007,2
28287,1007,2
28491,1007,2
47583,1007,2
59096,1007,2
90181,1007,2
113416,1007,2
1005,458,0
5915,458,0
52099,458,0
43214,458,1
138456,458,1
146284,458,1
12343,458,2
99508,458,2
123556,458,2
1100,314,0
39790,314,0
39805,314,0
41318,314,0
45543,314,0
63231,314,0
81957,314,0
98964,314,0
107745,314,0
127905,314,0
138276,314,0
139591,314,0
5699,314,1
37005,314,1
61296,314,1
67041,314,1
70697,314,1
98508,314,1
105132,314,1
122306,314,1
123457,314,1
128262,314,1
137872,314,1
154586,314,1
2016,314,2
12321,314,2
30377,314,2
53724,314,2
54333,314,2
57678,314,2
58511,314,2
77942,314,2
94226,314,2
126247,314,2
140093,314,2
141233,314,2
1137,1102,0
42924,1102,0
37468,1102,1
126904,1102,1
119375,1102,2
129246,1102,2
1147,1111,0
86408,1111,1
148358,1111,1
91188,1111,2
1148,1112,0
30319,1112,1
89153,1112,2
1164,1127,0
22178,1127,0
58682,1127,0
101583,1127,0
50041,1127,1
56177,1127,1
78785,1127,1
95319,1127,1
148966,1127,2
148973,1127,2
148998,1127,2
149015,1127,2
1168,1134,0
14489,1134,1
158323,1134,2
1168,1135,0
63183,1135,1
64744,1135,2
1174,1144,0
57762,1144,2
62350,1144,1
1174,1145,0
44077,1145,1
41859,1145,2
1213,1190,0
12627,1190,2
50608,1190,0
65218,1190,0
80736,1190,0
110388,1190,0
150930,1190,0
152381,1190,0
17941,1190,1
20582,1190,1
78306,1190,1
97643,1190,1
135921,1190,1
