TeamID,EventID
84,3136
90,3136
108,3136
128,3136
171,3136
188,3136
190,3136
294,3136
309,3136
581,3136
1,2286
12,2286
15,2286
16,2286
18,2286
20,2286
23,2286
24,2286
74,2286
77,2286
81,2286
143,2286
1,1219
2,1219
4,1219
6,1219
7,1219
9,1219
16,1219
29,1219
43,1219
74,1219
76,1219
84,1219
90,1219
96,1219
119,1219
193,1219
1,1324
4,1324
12,1324
21,1324
43,1324
47,1324
48,1324
90,1324
102,1324
242,1324
1,227
4,227
5,227
6,227
9,227
13,227
16,227
20,227
21,227
23,227
28,227
29,227
31,227
32,227
43,227
45,227
47,227
60,227
71,227
74,227
84,227
100,227
135,227
143,227
167,227
174,227
181,227
204,227
210,227
242,227
257,227
333,227
1,1610
5,1610
6,1610
9,1610
12,1610
20,1610
21,1610
23,1610
28,1610
29,1610
32,1610
43,1610
45,1610
47,1610
48,1610
71,1610
74,1610
81,1610
84,1610
86,1610
100,1610
135,1610
143,1610
167,1610
174,1610
204,1610
210,1610
242,1610
257,1610
1,4881
5,4881
7,4881
13,4881
15,4881
16,4881
26,4881
29,4881
32,4881
47,4881
67,4881
78,4881
84,4881
88,4881
90,4881
96,4881
177,4881
242,4881
247,4881
422,4881
1,3732
9,3732
12,3732
14,3732
15,3732
22,3732
24,3732
25,3732
26,3732
29,3732
32,3732
38,3732
43,3732
48,3732
73,3732
74,3732
83,3732
90,3732
96,3732
106,3732
112,3732
119,3732
167,3732
242,3732
244,3732
1,531
2,531
12,531
15,531
18,531
20,531
22,531
23,531
24,531
26,531
29,531
42,531
43,531
45,531
47,531
58,531
74,531
84,531
85,531
99,531
102,531
106,531
107,531
111,531
134,531
174,531
242,531
371,531
1,452
2,452
4,452
5,452
6,452
9,452
12,452
14,452
16,452
28,452
29,452
30,452
34,452
40,452
42,452
45,452
46,452
47,452
53,452
54,452
65,452
68,452
74,452
76,452
77,452
78,452
79,452
83,452
84,452
90,452
96,452
101,452
102,452
106,452
107,452
108,452
119,452
128,452
130,452
135,452
158,452
175,452
189,452
190,452
207,452
230,452
242,452
277,452
288,452
294,452
306,452
333,452
554,452
581,452
1,3936
9,3936
12,3936
15,3936
16,3936
20,3936
23,3936
29,3936
43,3936
1,3312
6,3312
9,3312
12,3312
14,3312
16,3312
20,3312
21,3312
23,3312
24,3312
27,3312
28,3312
29,3312
32,3312
43,3312
45,3312
46,3312
47,3312
52,3312
58,3312
60,3312
74,3312
77,3312
96,3312
103,3312
107,3312
115,3312
139,3312
143,3312
189,3312
193,3312
195,3312
210,3312
242,3312
1,3313
6,3313
9,3313
12,3313
14,3313
16,3313
21,3313
23,3313
24,3313
26,3313
27,3313
28,3313
32,3313
43,3313
45,3313
46,3313
47,3313
48,3313
52,3313
58,3313
60,3313
74,3313
77,3313
84,3313
88,3313
90,3313
96,3313
102,3313
103,3313
106,3313
107,3313
110,3313
115,3313
139,3313
143,3313
189,3313
210,3313
242,3313
267,3313
554,3313
1,1406
5,1406
8,1406
12,1406
13,1406
14,1406
16,1406
18,1406
20,1406
24,1406
26,1406
28,1406
29,1406
43,1406
45,1406
47,1406
58,1406
60,1406
67,1406
74,1406
77,1406
84,1406
88,1406
90,1406
96,1406
99,1406
106,1406
107,1406
109,1406
125,1406
135,1406
143,1406
187,1406
210,1406
242,1406
244,1406
302,1406
581,1406
595,1406
788,1406
1,1407
16,1407
20,1407
28,1407
60,1407
74,1407
77,1407
99,1407
107,1407
143,1407
242,1407
581,1407
1,1409
12,1409
20,1409
23,1409
27,1409
28,1409
45,1409
58,1409
86,1409
107,1409
143,1409
1,2972
7,2972
15,2972
29,2972
30,2972
45,2972
78,2972
84,2972
90,2972
242,2972
1,4085
7,4085
9,4085
15,4085
29,4085
43,4085
45,4085
47,4085
